page_id,page_title,page_ns,revision_id,timestamp,contributor_id,contributor_name,bytes
508,|1ª Temporada|,0,1716,2011-04-23T22:53:04Z,3105817,|Lalagunanegra|,35
508,|1ª Temporada|,0,1717,2011-04-23T22:53:36Z,3105817,|Lalagunanegra|,53
508,|1ª Temporada|,0,1718,2011-04-23T22:53:48Z,3105817,|Lalagunanegra|,35
509,|7ª Temporada|,0,1719,2011-04-23T22:54:26Z,3105817,|Lalagunanegra|,36
1099,|Adolf Merkel|,0,3945,2019-01-03T23:25:07Z,187.154.159.39,Anonymous,569
1099,|Adolf Merkel|,0,3946,2019-01-03T23:25:41Z,187.154.159.39,Anonymous,590
1099,|Adolf Merkel|,0,3947,2019-01-03T23:32:54Z,187.154.159.39,Anonymous,627
888,|Agustín Leal|,0,3270,2015-06-21T19:23:21Z,187.189.229.141,Anonymous,72
888,|Agustín Leal|,0,3344,2015-12-23T17:04:46Z,90.174.2.140,Anonymous,70
154,|Alaska|,0,428,2010-02-17T13:14:18Z,1347314,|Maryo96|,978
154,|Alaska|,0,429,2010-02-17T13:15:13Z,1347314,|Maryo96|,1026
154,|Alaska|,0,1423,2010-10-21T21:45:47Z,87.217.215.162,Anonymous,985
154,|Alaska|,0,1530,2010-10-22T18:43:26Z,3105817,|Lalagunanegra|,1010
154,|Alaska|,0,1531,2010-10-22T18:43:45Z,3105817,|Lalagunanegra|,1011
154,|Alaska|,0,2413,2011-08-28T17:07:00Z,3105817,|Lalagunanegra|,1042
154,|Alaska|,0,3552,2017-02-01T23:24:06Z,200.43.89.200,Anonymous,2276
154,|Alaska|,0,3646,2017-07-14T00:38:53Z,201.146.85.212,Anonymous,1042
154,|Alaska|,0,3842,2018-05-04T21:21:22Z,88.5.238.155,Anonymous,1041
154,|Alaska|,0,3843,2018-05-04T21:21:34Z,88.5.238.155,Anonymous,1054
154,|Alaska|,0,3844,2018-05-04T21:22:02Z,88.5.238.155,Anonymous,1041
148,|Alfonso|,0,400,2010-02-01T14:36:16Z,1146684,|Con Carne|,1022
148,|Alfonso|,0,648,2010-07-26T00:12:02Z,1146684,|Con Carne|,1118
148,|Alfonso|,0,820,2010-10-03T22:02:44Z,3105817,|Lalagunanegra|,1110
148,|Alfonso|,0,822,2010-10-03T22:28:44Z,3105817,|Lalagunanegra|,1196
148,|Alfonso|,0,875,2010-10-07T17:13:57Z,3105817,|Lalagunanegra|,1562
148,|Alfonso|,0,876,2010-10-07T17:14:32Z,3105817,|Lalagunanegra|,1294
148,|Alfonso|,0,1306,2010-10-20T12:49:02Z,2229677,|DJMintOne|,1382
148,|Alfonso|,0,1308,2010-10-20T12:54:07Z,2229677,|DJMintOne|,1286
148,|Alfonso|,0,1327,2010-10-20T20:45:12Z,87.217.214.232,Anonymous,1383
148,|Alfonso|,0,3308,2015-10-18T18:13:34Z,18914521,|Rundolph45|,2021
148,|Alfonso|,0,3656,2017-07-15T23:40:43Z,90.74.243.240,Anonymous,1314
148,|Alfonso|,0,3780,2018-01-17T13:02:49Z,96.27.64.84,Anonymous,398
148,|Alfonso|,0,3787,2018-03-01T19:51:34Z,81.37.232.16,Anonymous,399
148,|Alfonso|,0,3788,2018-03-01T22:20:05Z,34863937,|Carlos almansa|,3643
602,|Alfonso Ceballos|,0,2125,2011-08-11T11:58:36Z,3105817,|Lalagunanegra|,25
89,|Alicia|,0,181,2009-12-11T20:31:56Z,1347314,|Maryo96|,848
89,|Alicia|,0,209,2009-12-13T00:11:06Z,1146684,|Con Carne|,1378
89,|Alicia|,0,264,2009-12-13T19:22:45Z,1146684,|Con Carne|,1450
89,|Alicia|,0,525,2010-03-17T11:09:49Z,95.120.132.3,Anonymous,2135
89,|Alicia|,0,528,2010-03-17T22:14:24Z,1146684,|Con Carne|,2170
89,|Alicia|,0,529,2010-03-27T12:18:04Z,83.49.159.66,Anonymous,2161
89,|Alicia|,0,553,2010-06-04T16:34:00Z,1146684,|Con Carne|,1832
89,|Alicia|,0,556,2010-06-04T16:39:17Z,1146684,|Con Carne|,1853
89,|Alicia|,0,724,2010-09-15T13:30:29Z,95.124.128.15,Anonymous,1880
89,|Alicia|,0,1034,2010-10-12T11:01:35Z,87.217.214.97,Anonymous,2111
89,|Alicia|,0,1035,2010-10-12T11:02:00Z,87.217.214.97,Anonymous,2031
89,|Alicia|,0,1132,2010-10-14T14:42:17Z,1389592,|Motoko Kusanagi|,2143
89,|Alicia|,0,1309,2010-10-20T12:56:56Z,2229677,|DJMintOne|,2288
89,|Alicia|,0,1326,2010-10-20T20:41:03Z,87.217.214.232,Anonymous,2406
89,|Alicia|,0,1831,2011-05-20T21:34:45Z,3105817,|Lalagunanegra|,1845
89,|Alicia|,0,1833,2011-05-20T21:44:02Z,3105817,|Lalagunanegra|,2363
89,|Alicia|,0,1834,2011-05-20T21:45:26Z,3105817,|Lalagunanegra|,2375
89,|Alicia|,0,1836,2011-05-20T21:47:01Z,3105817,|Lalagunanegra|,2414
89,|Alicia|,0,1995,2011-07-06T21:10:40Z,87.217.215.36,Anonymous,2407
89,|Alicia|,0,2282,2011-08-27T18:14:02Z,3105817,|Lalagunanegra|,3337
89,|Alicia|,0,3179,2015-02-01T19:49:17Z,81.184.166.162,Anonymous,3269
89,|Alicia|,0,3311,2015-10-18T18:23:52Z,18914521,|Rundolph45|,4208
698,|Alicia Campos|,0,2686,2012-12-03T00:45:31Z,85.137.155.100,Anonymous,368
698,|Alicia Campos|,0,2687,2012-12-03T00:46:51Z,85.137.155.100,Anonymous,384
698,|Alicia Campos|,0,2695,2012-12-17T23:05:29Z,3394694,|Godric Potter|,494
698,|Alicia Campos|,0,3171,2015-02-01T19:06:18Z,81.184.166.162,Anonymous,536
603,|Alicia Corral|,0,2126,2011-08-11T11:58:43Z,3105817,|Lalagunanegra|,24
235,|Amaia|,0,676,2010-09-15T08:49:10Z,80.27.74.18,Anonymous,405
235,|Amaia|,0,753,2010-09-21T14:19:58Z,80.29.185.107,Anonymous,432
235,|Amaia|,0,913,2010-10-08T17:55:04Z,3105817,|Lalagunanegra|,735
235,|Amaia|,0,925,2010-10-10T00:01:22Z,83.43.197.21,Anonymous,1078
235,|Amaia|,0,927,2010-10-10T00:02:07Z,83.43.197.21,Anonymous,1078
235,|Amaia|,0,1036,2010-10-12T11:04:28Z,87.217.214.97,Anonymous,775
235,|Amaia|,0,1195,2010-10-15T18:24:48Z,77.225.17.41,Anonymous,941
235,|Amaia|,0,1211,2010-10-15T21:08:09Z,87.217.214.232,Anonymous,993
